Export Channel Data with rate of 256 samples per second.


Start Time: 00:00:00.000		End Time: 00:04:30.000

Time,EEG-Z - 1A
 ,2048
0.00390625000,1.923
0.00781250000,3.052
0.01171875000,9.721
0.01562500000,7.498
0.01953125000,12.755
0.02343750000,19.106
0.02734375000,15.767
0.03125000000,21.627
0.03515625000,25.148
0.03906250000,26.717
0.04296875000,31.878
0.04687500000,24.115
0.05078125000,36.134
0.05468750000,27.184
0.05859375000,24.697
0.06250000000,17.956
0.06640625000,17.922
0.07031250000,8.718
0.07421875000,5.795
0.07812500000,4.942
0.08203125000,4.617
0.08593750000,1.794
0.08984375000,4.546
0.09375000000,2.522
0.09765625000,1.890
0.10156250000,1.483
0.10546875000,1.668
0.10937500000,5.677
0.11328125000,6.608
0.11718750000,7.021
0.12109375000,7.947
0.12500000000,5.770
0.12890625000,13.532
0.13281250000,11.609
0.13671875000,8.261
0.14062500000,14.257
0.14453125000,13.727
0.14843750000,9.031
0.15234375000,17.637
0.15625000000,16.795
0.16015625000,22.731
0.16406250000,21.401
0.16796875000,16.042
0.17187500000,23.032
0.17578125000,19.200
0.17968750000,20.280
0.18359375000,16.658
0.18750000000,17.774
0.19140625000,26.720
0.19531250000,24.492
0.19921875000,18.299
0.20312500000,24.022
0.20703125000,28.580
0.21093750000,27.139
0.21484375000,21.546
0.21875000000,12.348
0.22265625000,16.380
0.22656250000,9.647
0.23046875000,6.480
0.23437500000,2.312
0.23828125000,3.580
0.24218750000,1.863
0.24609375000,2.411
0.25000000000,5.119
0.25390625000,5.812
0.25781250000,6.466
0.26171875000,12.990
0.26562500000,10.386
0.26953125000,13.410
0.27343750000,15.500
0.27734375000,12.625
0.28125000000,11.503
0.28515625000,10.570
0.28906250000,12.945
0.29296875000,10.118
0.29687500000,7.450
0.30078125000,5.534
0.30468750000,2.193
0.30859375000,2.307
0.31250000000,7.196
0.31640625000,6.128
0.32031250000,5.359
0.32421875000,5.174
0.32812500000,5.243
0.33203125000,6.967
0.33593750000,4.938
0.33984375000,7.026
0.34375000000,2.926
0.34765625000,2.900
0.35156250000,1.985
0.35546875000,3.287
0.35937500000,1.669
0.36328125000,4.329
0.36718750000,3.936
0.37109375000,6.995
0.37500000000,9.007
0.37890625000,12.504
0.38281250000,10.436
0.38671875000,4.940
0.39062500000,4.317
0.39453125000,5.665
0.39843750000,2.142
0.40234375000,5.131
0.40625000000,4.194
0.41015625000,10.285
0.41406250000,13.081
0.41796875000,13.406
0.42187500000,14.461
0.42578125000,14.961
0.42968750000,9.435
0.43359375000,15.407
0.43750000000,9.363
0.44140625000,7.236
0.44531250000,7.334
0.44921875000,9.764
0.45312500000,5.358
0.45703125000,1.720
0.46093750000,10.006
0.46484375000,6.898
0.46875000000,12.331
0.47265625000,13.441
0.47656250000,17.548
0.48046875000,18.207
0.48437500000,11.941
0.48828125000,16.608
0.49218750000,13.168
0.49609375000,6.330
0.50000000000,10.840
0.50390625000,4.256
0.50781250000,5.946
0.51171875000,14.023
0.51562500000,18.626
0.51953125000,15.603
0.52343750000,25.950
0.52734375000,26.489
0.53125000000,20.326
0.53515625000,19.115
0.53906250000,19.839
0.54296875000,22.663
0.54687500000,21.051
0.55078125000,19.470
0.55468750000,11.509
0.55859375000,7.282
0.56250000000,4.440
0.56640625000,9.062
0.57031250000,13.480
0.57421875000,19.296
0.57812500000,18.445
0.58203125000,15.816
0.58593750000,15.673
0.58984375000,14.471
0.59375000000,7.025
0.59765625000,11.425
0.60156250000,7.845
0.60546875000,5.021
0.60937500000,3.634
0.61328125000,4.722
0.61718750000,3.541
0.62109375000,3.835
0.62500000000,7.250
0.62890625000,8.943
0.63281250000,2.622
0.63671875000,2.621
0.64062500000,2.265
0.64453125000,3.782
0.64843750000,2.734
0.65234375000,7.751
0.65625000000,3.000
0.66015625000,2.648
0.66406250000,5.282
0.66796875000,3.916
0.67187500000,2.341
0.67578125000,7.573
0.67968750000,3.696
0.68359375000,4.592
0.68750000000,2.233
0.69140625000,5.573
0.69531250000,3.955
0.69921875000,8.035
0.70312500000,13.669
0.70703125000,10.694
0.71093750000,9.074
0.71484375000,5.341
0.71875000000,8.362
0.72265625000,7.425
0.72656250000,5.183
0.73046875000,6.020
0.73437500000,6.370
0.73828125000,3.760
0.74218750000,4.881
0.74609375000,5.009
0.75000000000,6.480
0.75390625000,4.007
0.75781250000,3.465
0.76171875000,2.610
0.76562500000,2.158
0.76953125000,5.098
0.77343750000,3.240
0.77734375000,2.202
0.78125000000,3.565
0.78515625000,2.761
0.78906250000,6.582
0.79296875000,4.680
0.79687500000,3.581
0.80078125000,7.036
0.80468750000,4.351
0.80859375000,6.271
0.81250000000,6.912
0.81640625000,7.948
0.82031250000,4.809
0.82421875000,3.445
0.82812500000,1.971
0.83203125000,2.421
0.83593750000,7.365
0.83984375000,9.919
0.84375000000,9.581
0.84765625000,5.288
0.85156250000,4.024
0.85546875000,13.266
0.85937500000,11.033
0.86328125000,8.856
0.86718750000,8.190
0.87109375000,7.603
0.87500000000,8.494
0.87890625000,2.041
0.88281250000,3.966
0.88671875000,8.820
0.89062500000,13.144
0.89453125000,19.753
0.89843750000,15.776
0.90234375000,19.842
0.90625000000,20.064
0.91015625000,20.830
0.91406250000,18.943
0.91796875000,22.627
0.92187500000,21.549
0.92578125000,22.294
0.92968750000,17.872
0.93359375000,19.043
0.93750000000,10.694
0.94140625000,7.950
0.94531250000,10.448
0.94921875000,6.171
0.95312500000,5.145
0.95703125000,3.441
0.96093750000,1.297
0.96484375000,1.155
0.96875000000,5.566
