Export Channel Data with rate of 256 samples per second.


Start Time: 00:00:00.000		End Time: 00:04:30.000

Time,EEG-Z - 1A
 ,2048
0.00390625000,10.196
0.00781250000,16.652
0.01171875000,9.577
0.01562500000,7.500
0.01953125000,8.333
0.02343750000,18.558
0.02734375000,13.098
0.03125000000,3.580
0.03515625000,4.023
0.03906250000,7.481
0.04296875000,2.983
0.04687500000,8.646
0.05078125000,13.528
0.05468750000,13.163
0.05859375000,11.885
0.06250000000,31.772
0.06640625000,23.393
0.07031250000,14.885
0.07421875000,25.736
0.07812500000,28.523
0.08203125000,17.007
0.08593750000,8.876
0.08984375000,13.993
0.09375000000,5.838
0.09765625000,4.370
0.10156250000,11.984
0.10546875000,3.402
0.10937500000,7.718
0.11328125000,11.313
0.11718750000,6.646
0.12109375000,6.262
0.12500000000,4.328
0.12890625000,7.283
0.13281250000,4.163
0.13671875000,7.362
0.14062500000,3.559
0.14453125000,10.097
0.14843750000,4.874
0.15234375000,8.790
0.15625000000,3.396
0.16015625000,13.133
0.16406250000,17.699
0.16796875000,4.214
0.17187500000,5.098
0.17578125000,8.862
0.17968750000,2.341
0.18359375000,8.142
0.18750000000,6.148
0.19140625000,3.928
0.19531250000,4.338
0.19921875000,4.593
0.20312500000,10.714
0.20703125000,10.742
0.21093750000,6.201
0.21484375000,9.228
0.21875000000,11.179
0.22265625000,15.893
0.22656250000,16.667
0.23046875000,9.703
0.23437500000,2.435
0.23828125000,7.839
0.24218750000,8.458
0.24609375000,12.691
0.25000000000,4.491
0.25390625000,6.463
0.25781250000,1.889
0.26171875000,9.663
0.26562500000,19.405
0.26953125000,18.711
0.27343750000,8.157
0.27734375000,5.121
0.28125000000,4.853
0.28515625000,3.661
0.28906250000,6.440
0.29296875000,4.971
0.29687500000,4.497
0.30078125000,4.047
0.30468750000,4.303
0.30859375000,3.709
0.31250000000,6.025
0.31640625000,3.057
0.32031250000,2.792
0.32421875000,7.339
0.32812500000,11.226
0.33203125000,6.843
0.33593750000,3.443
0.33984375000,5.383
0.34375000000,11.720
0.34765625000,8.844
0.35156250000,11.788
0.35546875000,13.100
0.35937500000,6.994
0.36328125000,6.999
0.36718750000,2.437
0.37109375000,5.421
0.37500000000,8.303
0.37890625000,10.767
0.38281250000,10.555
0.38671875000,12.101
0.39062500000,20.321
0.39453125000,18.083
0.39843750000,4.965
0.40234375000,7.292
0.40625000000,6.221
0.41015625000,14.133
0.41406250000,18.459
0.41796875000,13.149
0.42187500000,17.042
0.42578125000,12.251
0.42968750000,9.537
0.43359375000,9.463
0.43750000000,9.946
0.44140625000,4.672
0.44531250000,4.256
0.44921875000,3.439
0.45312500000,7.072
0.45703125000,10.134
0.46093750000,6.443
0.46484375000,4.415
0.46875000000,7.600
0.47265625000,5.939
0.47656250000,7.468
0.48046875000,5.634
0.48437500000,9.677
0.48828125000,7.642
0.49218750000,4.195
0.49609375000,3.772
0.50000000000,8.091
0.50390625000,16.144
0.50781250000,9.446
0.51171875000,2.214
0.51562500000,9.036
0.51953125000,10.774
0.52343750000,9.601
0.52734375000,9.588
0.53125000000,5.370
0.53515625000,8.931
0.53906250000,7.939
0.54296875000,9.626
0.54687500000,12.019
0.55078125000,12.373
0.55468750000,16.831
0.55859375000,17.991
0.56250000000,17.012
0.56640625000,14.857
0.57031250000,13.624
0.57421875000,16.006
0.57812500000,12.445
0.58203125000,5.988
0.58593750000,5.778
0.58984375000,3.687
0.59375000000,11.690
0.59765625000,13.622
0.60156250000,16.278
0.60546875000,11.212
0.60937500000,13.479
0.61328125000,15.405
0.61718750000,12.985
0.62109375000,11.951
0.62500000000,10.471
0.62890625000,13.713
0.63281250000,14.807
0.63671875000,13.161
0.64062500000,19.057
0.64453125000,15.709
0.64843750000,11.543
0.65234375000,2.908
0.65625000000,5.647
0.66015625000,9.626
0.66406250000,3.843
0.66796875000,1.265
0.67187500000,5.122
0.67578125000,9.087
0.67968750000,16.419
0.68359375000,13.135
0.68750000000,16.046
0.69140625000,16.858
0.69531250000,16.003
0.69921875000,13.424
0.70312500000,21.151
0.70703125000,17.229
0.71093750000,20.463
0.71484375000,15.049
0.71875000000,9.864
0.72265625000,4.605
0.72656250000,4.648
0.73046875000,13.207
0.73437500000,7.034
0.73828125000,10.075
0.74218750000,11.500
0.74609375000,24.364
0.75000000000,14.120
0.75390625000,7.691
0.75781250000,13.949
0.76171875000,9.582
0.76562500000,16.683
0.76953125000,9.291
0.77343750000,15.278
0.77734375000,12.449
0.78125000000,9.285
0.78515625000,11.139
0.78906250000,6.383
0.79296875000,15.669
0.79687500000,12.683
0.80078125000,12.332
0.80468750000,11.060
0.80859375000,2.485
0.81250000000,13.079
0.81640625000,9.872
0.82031250000,10.807
0.82421875000,11.200
0.82812500000,16.732
0.83203125000,8.091
0.83593750000,7.770
0.83984375000,9.171
0.84375000000,9.105
0.84765625000,6.337
0.85156250000,5.625
0.85546875000,6.629
0.85937500000,5.538
0.86328125000,13.711
0.86718750000,9.962
0.87109375000,6.118
0.87500000000,11.606
0.87890625000,10.593
0.88281250000,23.660
0.88671875000,8.442
0.89062500000,10.500
0.89453125000,5.056
0.89843750000,12.877
0.90234375000,16.361
0.90625000000,13.885
0.91015625000,9.982
0.91406250000,18.495
0.91796875000,11.330
0.92187500000,13.637
0.92578125000,15.842
0.92968750000,14.327
0.93359375000,23.626
0.93750000000,27.704
0.94140625000,26.596
0.94531250000,22.640
0.94921875000,14.654
0.95312500000,11.388
0.95703125000,15.591
0.96093750000,12.207
0.96484375000,5.721
0.96875000000,6.269
